km	kg/m3	Pa	K	kg/mol
0.0000000000000000000	1.2250000000000000000	101325.0000000000000000000	288.1500000000000000000	0.0289640000000000000
10.0000000000000000000	0.4135100000000000000	26499.0000000000000000000	223.2520000000000000000	0.0289640000000000000
20.0000000000000000000	0.0889100000000000000	5529.3000000000000000000	216.6500000000000000000	0.0289640000000000000
30.0000000000000000000	0.0184100000000000000	1197.0000000000000000000	226.5090000000000000000	0.0289640000000000000
40.0000000000000000000	0.0039957000000000000	287.1400000000000000000	250.3500000000000000000	0.0289640000000000000
50.0000000000000000000	0.0010269000000000000	79.7790000000000000000	270.6500000000000000000	0.0289640000000000000
60.0000000000000000000	0.0003096800000000000	21.9580000000000000000	247.0210000000000000000	0.0289640000000000000
70.0000000000000000000	0.0000828290000000000	5.2209000000000000000	219.5850000000000000000	0.0289640000000000000
80.0000000000000000000	0.0000184580000000000	1.0524000000000000000	198.6390000000000000000	0.0289640000000000000
90.0000000000000000000	0.0000034160000000000	0.1835900000000000000	186.8700000000000000000	0.0289100000000000000
100.0000000000000000000	0.0000005604000000000	0.0320110000000000000	195.0800000000000000000	0.0284000000000000000
110.0000000000000000000	0.0000000970800000000	0.0071042000000000000	240.0000000000000000000	0.0272700000000000000
120.0000000000000000000	0.0000000222200000000	0.0025382000000000000	360.0000000000000000000	0.0262000000000000000
130.0000000000000000000	0.0000000081520000000	0.0012505000000000000	469.2700000000000000000	0.0254400000000000000
140.0000000000000000000	0.0000000038310000000	0.0007202800000000000	559.6300000000000000000	0.0247500000000000000
150.0000000000000000000	0.0000000020760000000	0.0004542200000000000	634.3900000000000000000	0.0241000000000000000
160.0000000000000000000	0.0000000012330000000	0.0003039500000000000	696.2900000000000000000	0.0234900000000000000
170.0000000000000000000	0.0000000007815000000	0.0002121000000000000	747.5700000000000000000	0.0229000000000000000
180.0000000000000000000	0.0000000005194000000	0.0001527100000000000	790.0700000000000000000	0.0223400000000000000
190.0000000000000000000	0.0000000003581000000	0.0001126600000000000	825.3100000000000000000	0.0218100000000000000
200.0000000000000000000	0.0000000002541000000	0.0000847360000000000	854.5600000000000000000	0.0213000000000000000
210.0000000000000000000	0.0000000001846000000	0.0000647560000000000	878.8400000000000000000	0.0208300000000000000
220.0000000000000000000	0.0000000001367000000	0.0000501490000000000	899.0100000000000000000	0.0203700000000000000
230.0000000000000000000	0.0000000001076400000	0.0000406040000000000	914.3700000000000000000	0.0199650000000000000
240.0000000000000000000	0.0000000000785800000	0.0000310590000000000	929.7300000000000000000	0.0195600000000000000
250.0000000000000000000	0.0000000000630000000	0.0000254765000000000	940.3600000000000000000	0.0192050000000000000
260.0000000000000000000	0.0000000000474200000	0.0000198940000000000	950.9900000000000000000	0.0188500000000000000
270.0000000000000000000	0.0000000000385650000	0.0000164850000000000	958.3700000000000000000	0.0185450000000000000
280.0000000000000000000	0.0000000000297100000	0.0000130760000000000	965.7500000000000000000	0.0182400000000000000
290.0000000000000000000	0.0000000000244350000	0.0000109232000000000	970.8800000000000000000	0.0179850000000000000
300.0000000000000000000	0.0000000000191600000	0.0000087704000000000	976.0100000000000000000	0.0177300000000000000
310.0000000000000000000	0.0000000000159000000	0.0000073750000000000	979.5850000000000000000	0.0175100000000000000
320.0000000000000000000	0.0000000000126400000	0.0000059796000000000	983.1600000000000000000	0.0172900000000000000
330.0000000000000000000	0.0000000000105715000	0.0000050558000000000	985.6550000000000000000	0.0171000000000000000
340.0000000000000000000	0.0000000000085030000	0.0000041320000000000	988.1500000000000000000	0.0169100000000000000
350.0000000000000000000	0.0000000000071540000	0.0000035099000000000	989.9000000000000000000	0.0167400000000000000
360.0000000000000000000	0.0000000000058050000	0.0000028878000000000	991.6500000000000000000	0.0165700000000000000
370.0000000000000000000	0.0000000000049090000	0.0000024631000000000	992.8750000000000000000	0.0164200000000000000
380.0000000000000000000	0.0000000000040130000	0.0000020384000000000	994.1000000000000000000	0.0162700000000000000
390.0000000000000000000	0.0000000000034080000	0.0000017451000000000	994.9650000000000000000	0.0161250000000000000
400.0000000000000000000	0.0000000000028030000	0.0000014518000000000	995.8300000000000000000	0.0159800000000000000
